,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
366,Escultura abstracta en el camino Vinateros,Monumento de la ciudad de Madrid,Cmno Vinateros 51,"458 - Calle del Arroyo Belincoso, 26","Calle del Arroyo Belincoso, 26,",4,192,2
367,Escultura abstracta en la calle Capitán Haya,Monumento de la ciudad de Madrid,CALLE CAPITAN HAYA 41,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,1,135,1
368,Escultura abstracta en la calle Pedroñeras,Monumento de la ciudad de Madrid,C Pedroñeras 31,526 - Plaza del Liceo,"Plaza del Liceo,",14,1819,22
369,Escultura abstracta en la calle Tacoma,Monumento de la ciudad de Madrid,C Tacoma 3,"427 - Calle de los Andaluces, 2","Calle de los Andaluces, 2,",5,593,7
370,Escultura con material de desecho,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,429,5
371,Escultura de chapa Centro Cultural Islámico,Monumento de la ciudad de Madrid,C Salvador de Madariaga 9,231 - Derechos Humanos,Calle Derechos Humanos nº 12,4,220,2
372,Escultura de hormigón Instituto Eduardo Torroja,Monumento de la ciudad de Madrid,C Serrano Galvache 4,"489 - Serrano Galvache, 56","Serrano Galvache, 56,",5,559,6
373,Escultura ecuestre alegórica I Jardines de Sabatini,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,395,4
374,Escultura ecuestre alegórica II Jardines de Sabatini,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,380,4
375,Escultura en chapa metálica en la calle San Jenaro,Monumento de la ciudad de Madrid,C San Jenaro ,"385 - Calle Campotejar , 25","Calle Campotejar , 25,",2,2327,29
376,Escultura en el Consejo Económico y Social,Monumento de la ciudad de Madrid,C Huertas 73,27 - Huertas,Calle Jesús nº 1,4,62,0
377,Escultura en la Urbanización Los Robles,Monumento de la ciudad de Madrid,C Gavilanes 4,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,2740,34
378,Escultura en la calle Belzunegui,Monumento de la ciudad de Madrid,C Belzunegui ,"352 - Calle Algorta, 2","Calle Algorta, 2,",3,2308,28
379,Escultura en la calle Risco de Peloche,Monumento de la ciudad de Madrid,C Risco de Peloche 14,"428 - Avenida de la Albufera, 136","Avenida de la Albufera,",3,249,3
380,Escultura en la plaza Presidente Cárdenas,Monumento de la ciudad de Madrid,PLAZA PRESIDENTE CARDENAS 1,158 - Alberto Alcocer,Avenida de Alberto Alcocer nº 22,1,477,5
381,Escultura en la plaza Santos de la Humosa,Monumento de la ciudad de Madrid,Plaza Santos de la Humosa ,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,818,10
382,Escultura geométrica I. E. S. Arcipreste de Hita,Monumento de la ciudad de Madrid,Rda Sur 6,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,1071,13
383,Escultura modular inoxidable en la calle Orense,Monumento de la ciudad de Madrid,CALLE ORENSE 58,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,1,288,3
384,Escultura monolítica I Inst. Prof. de Sordomudos Ponce de León,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,385,4
385,Escultura monolítica II Inst. Prof. de Sordomudos Ponce de León,Monumento de la ciudad de Madrid,Avda Eduardo Barreiros 6,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,376,4
386,Escultura mural metálica I. E. S. Antonio Domínguez Ortiz,Monumento de la ciudad de Madrid,C Andaluces 36,"435 - Calle San Claudio, 154","Calle San Claudio, 154,",2,419,5
387,Escultura trípode Cuzco,Monumento de la ciudad de Madrid,PASEO CASTELLANA 143,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,1,104,1
388,Esculturas emergentes Pradolongo,Monumento de la ciudad de Madrid,C Doctor Tolosa Latour ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,587,7
389,Esculturas gemelas de niños,Monumento de la ciudad de Madrid,CALLE SANTISIMA TRINIDAD 37,201 - Canal,Calle José Abascal frente al nº 2,4,300,3
390,Esfinges,Monumento de la ciudad de Madrid,C Serrano 13,95 - Villanueva,Calle Claudio Coello nº 109,1,187,2
391,Espacio México,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1458,18
392,Estanque Arturo Soria I,Monumento de la ciudad de Madrid,C Arturo Soria 36,"478 - Jose del Hierro , 69","Jose del Hierro , 69,",14,47,0
393,Estanque Arturo Soria II,Monumento de la ciudad de Madrid,C Arturo Soria 118,"481 - Diego Ayllon, 2","Diego Ayllon, 2,",11,456,5
394,Estanque Arturo Soria III,Monumento de la ciudad de Madrid,C Arturo Soria 176,"479 - Angel Muñoz, 1","Angel Muñoz, 1,",12,189,2
395,Estanque Arturo Soria IV,Monumento de la ciudad de Madrid,C Arturo Soria 176,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,497,6
396,Estanque Arturo Soria V,Monumento de la ciudad de Madrid,C Arturo Soria 276,"534 - Calle de Mesena, 102","Calle de Mesena, 102,",6,589,7
397,Estanque Arturo Soria VI,Monumento de la ciudad de Madrid,C Arturo Soria 278,"534 - Calle de Mesena, 102","Calle de Mesena, 102,",6,619,7
398,Estanque Arturo Soria VII,Monumento de la ciudad de Madrid,C Arturo Soria 308,"489 - Serrano Galvache, 56","Serrano Galvache, 56,",5,385,4
399,Estanque Atenas,Monumento de la ciudad de Madrid,PARQUE ATENAS ,167 - Segovia 45,Calle Segovia nº 45,22,163,2
400,Estanque C. Cultural S. Cristóbal,Monumento de la ciudad de Madrid,Pza Pinazo 9,"397 - Calle de Moreja, 30","Calle de Moreja, 30,",1,2982,37
401,Estanque Central de La Rosaleda,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
402,Estanque Centro de Informática Seg. Social,Monumento de la ciudad de Madrid,CALLE DOCTOR TOLOSA LATOUR 7,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,404,5
403,Estanque Dehesa Boyal,Monumento de la ciudad de Madrid,PARQUE DEHESA BOYAL ,"383 - Avenida de la Perla, 35","Avenida de la Perla, 35,",2,2657,33
404,Estanque Descubrimiento,Monumento de la ciudad de Madrid,Pza Colón ,106b - Colón B,Calle Serrano nº 34,2,80,1
405,Estanque E. T. Superior de Ingenieros Agrónomos,Monumento de la ciudad de Madrid,Avda Puerta de Hierro 4,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,260,3
406,Estanque Ensanche de Vallecas,Monumento de la ciudad de Madrid,AVENIDA ENSANCHE DE VALLECAS 1,"438 - Calle Enrique Garcia Alvarez, 5","Calle Enrique Garcia Alvarez, 5,",4,315,3
407,Estanque Eugenia de Montijo,Monumento de la ciudad de Madrid, ,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,2675,33
408,Estanque Guillermo Pingarrón,Monumento de la ciudad de Madrid,C Guillermo Pingaron 4 y 6,"416 - Calle Ramirez Tome, 31","Calle Ramirez Tome, 31,",14,303,3
409,Estanque I Campo de las Naciones,Monumento de la ciudad de Madrid,"Avda Capital de España, Madrid ","499 - Calle Alcala, 590","Calle Alcala, 590,",9,1692,21
410,Estanque II Campo de las Naciones,Monumento de la ciudad de Madrid,"Avda Capital de España, Madrid ","499 - Calle Alcala, 590","Calle Alcala, 590,",9,1807,22
411,Estanque III Campo de las Naciones,Monumento de la ciudad de Madrid,"Avda Capital de España, Madrid ","499 - Calle Alcala, 590","Calle Alcala, 590,",9,1909,23
412,Estanque La Masía,Monumento de la ciudad de Madrid,CALLE PRINCIPAL DE PROVINCIAS 2,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,203,2
413,Estanque Puerta Logroño,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,736,9
414,Estanque Rafaela Ybarra,Monumento de la ciudad de Madrid,Avda Rafaela Ybarra ,"391 - Calle Rafaela Ybarra, 22","Calle Rafaela Ybarra, 22,Comunidad de Madrid España",3,439,5
415,Estanque Rosaleda,Monumento de la ciudad de Madrid,CALLE ROSALEDA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,486,6
416,Estanque Rosaleda Norte,Monumento de la ciudad de Madrid,C Rosaleda ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,554,6
417,Estanque Rosaleda Sur,Monumento de la ciudad de Madrid,C Rosaleda ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,430,5
418,Estanque Sepúlveda del parque Cuña Verde,Monumento de la ciudad de Madrid,Pq Cuña Verde ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1396,17
419,Estanque Toledo-Acacias,Monumento de la ciudad de Madrid, ,169 - Pirámides,Calle Toledo nº 181,2,85,1
420,Estanque Vaguada,Monumento de la ciudad de Madrid,AVENIDA BETANZOS 1,"304 - Calle Valle de Mena, 5","Calle Valle de Mena, 5,",5,364,4
421,Estanque alto del jardín de la Quinta del duque del Arco,Monumento de la ciudad de Madrid,MONTE EL PARDO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,12287,153
422,Estanque alto del parque en la Quinta de los Molinos,Monumento de la ciudad de Madrid,C Alcalá 527,"518 - Calle Tampico, 71","Calle Tampico, 71,",10,695,8
423,Estanque central Sabatini,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,427,5
424,Estanque central del parque de San Isidro,Monumento de la ciudad de Madrid,PARQUE SAN ISIDRO ,"351 - Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",5,723,9
425,Estanque circular Centro Médico 'La Fraternidad',Monumento de la ciudad de Madrid,PASEO LA HABANA 83,159 - Paseo de la Habana 63,Paseo de la Habana nº 63,2,399,4
426,Estanque circular Nuevos Ministerios,Monumento de la ciudad de Madrid,PASEO CASTELLANA 67,136 - Castellana 106,Paseo de la Castellana nº 106,1,168,2
427,Estanque circular Sabatini,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,322,4
428,Estanque circular de la antigua Casa de Fieras,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,139,1
429,Estanque circular de la avenida Cantabria,Monumento de la ciudad de Madrid,Avda Cantabria ,"500 - Calle Aracne, 17","Calle Aracne, 17,",6,1766,22
430,Estanque circular del pabellón de Pontevedra,Monumento de la ciudad de Madrid,Pza Puerta del Ángel ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,254,3
431,Estanque circular en el Paseo de la Castellana,Monumento de la ciudad de Madrid,Pº Castellana 42,198 - Rubén Darío,Glorieta Rubén Darío 2,1,407,5
432,Estanque con surtidor del parque Norte,Monumento de la ciudad de Madrid,C Arzobispo Morcillo ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,83,1
433,Estanque con surtidor y ría del parque del Oeste,Monumento de la ciudad de Madrid,PASEO RUPERTO CHAPI ,112 - Paseo de Moret,Paseo de Moret nº 11,2,279,3
434,Estanque con surtidores CYII,Monumento de la ciudad de Madrid,CARRETERA CASTILLA 12,257 - INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,5,1414,17
435,Estanque cuadrado del parque del Manzanares,Monumento de la ciudad de Madrid,CALLE EMBAJADORES 320,"265 - Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",2,917,11
436,Estanque de Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,197,2
437,Estanque de las Campanillas,Monumento de la ciudad de Madrid,Pº Paraguay ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,395,4
438,Estanque de las Cruces,Monumento de la ciudad de Madrid,Pq Cruces ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,3754,46
439,Estanque de las Tencas,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,389,4
440,Estanque de los Cisnes,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,315,3
441,Estanque de los Patos,Monumento de la ciudad de Madrid,PARQUE ALAMEDA DE OSUNA ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,381,4
442,Estanque del Bosque de los Ausentes,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
443,Estanque del Palacio de Cristal,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,431,5
444,Estanque del Parque Zoológico,Monumento de la ciudad de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,1645,20
445,Estanque del Repartidor,Monumento de la ciudad de Madrid,PARQUE CASA DE CAMPO ,261 - Facultad Derecho,Avenida Complutense nº 23,2,3660,45
446,Estanque del jardín de Vivaces,Monumento de la ciudad de Madrid, ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,235,2
447,Estanque del parque de Berlín,Monumento de la ciudad de Madrid,PLAZA VIRGEN GUADALUPANA ,197 - Parque Berlín,"Avenida de Concha Espina nº 34,",10,375,4
448,Estanque e isla ovalada del Parque del Retiro,Monumento de la ciudad de Madrid, ,75 - Menéndez Pelayo,"Avenida de Menéndez Pelayo con calle Poeta Esteban Villegas,",8,536,6
449,Estanque elíptico IVECO-Pegaso,Monumento de la ciudad de Madrid,Avda Aragón 402,"500 - Calle Aracne, 17","Calle Aracne, 17,",6,4392,54
450,Estanque elíptico de la Quinta de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
451,Estanque en la avenida Reyes Católicos,Monumento de la ciudad de Madrid,Avda Reyes Católicos 6,244 - Hospital Clínico,Calle Isaac Peral nº 44,3,476,5
452,Estanque escalonado Pinar del Rey,Monumento de la ciudad de Madrid,C Macuaje ,526 - Plaza del Liceo,"Plaza del Liceo,",14,1832,22
453,Estanque este del parque de San Isidro,Monumento de la ciudad de Madrid,PARQUE SAN ISIDRO ,"351 - Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",5,723,9
454,Estanque grande del Retiro,Monumento de la ciudad de Madrid,Pº Estanque (Parque del Retiro) ,102 - Velázquez,Calle Alcalá nº 95,1,448,5
455,Estanque grande parque de Azorín,Monumento de la ciudad de Madrid, ,"428 - Avenida de la Albufera, 136","Avenida de la Albufera,",3,344,4
456,Estanque grande parque de Entrevías,Monumento de la ciudad de Madrid,PARQUE ENTREVIAS ,"422 - Travesia de Palomeras, 7","Travesia de Palomeras, 7,",4,900,11
457,Estanque grande parque del Manzanares,Monumento de la ciudad de Madrid,CALLE EMBAJADORES 320,"265 - Calle Puerto Serrano, 1","Calle Puerto Serrano, 1,",2,917,11
458,Estanque jardines de Dionisio Ridruejo,Monumento de la ciudad de Madrid, ,"461 - Corregidor licenciado Antonio de Mena, sn","Corregidor licenciado Antonio de Mena, sn,",2,349,4
459,Estanque jardín Judío,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
460,Estanque lineal en seis tramos del parque de las  Delicias,Monumento de la ciudad de Madrid,C Párroco Eusebio Cuenca ,118 - Juan Martín,Calle Juan Martín el Empecinado nº 16,2,471,5
461,Estanque norte Nuevos Ministerios,Monumento de la ciudad de Madrid,PASEO CASTELLANA 67,136 - Castellana 106,Paseo de la Castellana nº 106,1,168,2
462,Estanque norte del parque Juan Carlos I,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1458,18
463,Estanque norte del parque de Arias Navarro,Monumento de la ciudad de Madrid, ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2152,26
464,Estanque oeste del parque de San Isidro,Monumento de la ciudad de Madrid,PARQUE SAN ISIDRO ,"351 - Calle Comandante Fontanes, 1","Calle Comandante Fontanes, 1,",5,723,9
465,Estanque para patos de los jardines del Campo del Moro,Monumento de la ciudad de Madrid, ,167 - Segovia 45,Calle Segovia nº 45,22,496,6
466,Estanque para patos del parque Fuente del Berro,Monumento de la ciudad de Madrid, ,185 - Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,3,236,2
467,Estanque parque Huerta de la Salud,Monumento de la ciudad de Madrid, ,"524 - Glorieta Luis Rosales, sn","Glorieta Luis Rosales, sn,",1,1323,16
468,Estanque paseo Central,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1584,19
469,Estanque pequeño de los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,148,1
470,Estanque pequeño en la avenida Cantabria I,Monumento de la ciudad de Madrid,Avda Cantabria ,"500 - Calle Aracne, 17","Calle Aracne, 17,",6,1640,20
471,Estanque plaza del Recibimiento,Monumento de la ciudad de Madrid, ,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1683,21
472,Estanque poligonal del parque Marqués de Suances,Monumento de la ciudad de Madrid,Avda Veinticinco de Septiembre ,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,690,8
473,Estanque rectangular C.S.I.C.,Monumento de la ciudad de Madrid,CALLE SERRANO 117,250 - Serrano 113,Calle Serrano nº 113B,1,214,2
474,Estanque rectangular Cuzco,Monumento de la ciudad de Madrid,PASEO CASTELLANA 167,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,1,281,3
475,Estanque rectangular Nuevos Ministerios,Monumento de la ciudad de Madrid,PASEO CASTELLANA 67,136 - Castellana 106,Paseo de la Castellana nº 106,1,168,2
476,Estanque rectangular Nuevos Ministerios,Monumento de la ciudad de Madrid,Pº Castellana 67,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,1,160,2
477,Estanque rectangular Vistillas,Monumento de la ciudad de Madrid,Pza Gabriel Miró ,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,226,2
478,Estanque rectangular en la avenida Cantabria,Monumento de la ciudad de Madrid,Avda Cantabria ,"500 - Calle Aracne, 17","Calle Aracne, 17,",6,1721,21
479,Estanque rústico y puente de los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,181,2
480,Estanque semicircular y canal Pradolongo,Monumento de la ciudad de Madrid,PARQUE PRADOLONGO ,"388 - Doctor Tolosa Latour, 7","Doctor Tolosa Latour, 7,",4,197,2
481,Estanque sur Aluche,Monumento de la ciudad de Madrid, ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2496,31
482,Estanque sur del parque Juan Carlos I,Monumento de la ciudad de Madrid,PARQUE JUAN CARLOS I 1,"499 - Calle Alcala, 590","Calle Alcala, 590,",9,1458,18
483,Estanque sur en la avenida de los Poblados,Monumento de la ciudad de Madrid,PARQUE CRUCES ,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,3262,40
484,Estanque trapezoidal Costillares,Monumento de la ciudad de Madrid,C Serrano Galvache 4,"489 - Serrano Galvache, 56","Serrano Galvache, 56,",5,564,7
485,Estanque triple Cuzco,Monumento de la ciudad de Madrid,PASEO CASTELLANA 137,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,1,43,0
486,Estanque y cascada Cuzco,Monumento de la ciudad de Madrid,Pº Castellana 149,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,1,137,1
487,Estanque y fuente del Parque de Atracciones,Monumento de la ciudad de Madrid,PARQUE ATRACCIONES CASA CAMPO ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,772,9
488,Estanque óvalo del Retiro,Monumento de la ciudad de Madrid,Pº Panamá ,85 - Puerta de Madrid,"Avenida de Menéndez Pelayo, 9,",5,250,3
489,Estanques Puente de Segovia,Monumento de la ciudad de Madrid,Puente de Segovia ,216 - Puerta del Ángel,Plaza Puerta del Ángel nº 4,11,604,7
490,Estanques con dos fuentes en la Quinta de los Molinos,Monumento de la ciudad de Madrid,CALLE ALCALA 527,"497 - Calle Alcala, 506","Calle Alcalá, 506,",3,44,0
491,Estanques del Parterre,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,288,3
492,Estanques en cascada de los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,123,1
493,Estanques gemelos de la antigua Casa de Fieras,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,90,1
494,Estanques largos de los jardines de Cecilio Rodríguez,Monumento de la ciudad de Madrid, ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,214,2
495,Estanques rectangulares Pradolongo,Monumento de la ciudad de Madrid, ,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",3,233,2
496,Estanques-graderíos,Monumento de la ciudad de Madrid,JARDIN TRES CULTURAS ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,1224,15
497,Estatua La Paz,Monumento de la ciudad de Madrid,Pº Castellana 261,249 - Manuel Caldeiro,Paseo de la Castellana nº 298,25,135,1
498,Estatua Virgen María,Monumento de la ciudad de Madrid,C Gómez de Arteche 30,350 - Calle de Ervigio,"Calle de Ervigio,",17,4031,50
499,Estela de Venus,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,438,5
500,Estructura permutacional,Monumento de la ciudad de Madrid,Pº Castellana 41,190 - Velázquez-Diego de León,Calle Velázquez nº 91,2,418,5
501,Estructuración hiperpoliédrica del espacio,Monumento de la ciudad de Madrid,PASEO CASTELLANA 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,309,3
502,Estudiante,Monumento de la ciudad de Madrid,CALLE NUESTRA SEÑORA DE LA LUZ 53,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2174,27
503,Eugenio María de Hostos,Monumento de la ciudad de Madrid, ,112 - Paseo de Moret,Paseo de Moret nº 11,2,223,2
504,Eugenio d'Ors,Monumento de la ciudad de Madrid,Pza Cordón 2,35 - Plaza del Cordón,Plaza del Cordón,2,10,0
505,Eugenio de Santa Cruz y Espejo,Monumento de la ciudad de Madrid,PASEO CAMOENS Y VALERO 2,112 - Paseo de Moret,Paseo de Moret nº 11,2,269,3
506,Eugenio d´Ors Rovira,Monumento de la ciudad de Madrid,Pº Prado ,27 - Huertas,Calle Jesús nº 1,4,247,3
507,Eurico,Monumento de la ciudad de Madrid,Pza Oriente ,36 - Plaza Ramales,Plaza de Ramales,1,124,1
508,Eva Perón,Monumento de la ciudad de Madrid,Avda Francisco Silvela 4,192 - Avenida de los Toreros,Avenida de los Toreros nº 3,2,306,3
509,Evaristo San Miguel,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,611,7
510,Exedra,Monumento de la ciudad de Madrid, ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,157,1
511,Explanada de la Selección Española de Fútbol,Monumento de la ciudad de Madrid, Explanada de la Selección Española de Fútbol ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,500,6
512,Facultad de Farmacia,Monumento de la ciudad de Madrid,Pza Ramón y Cajal 2,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,180,2
513,Fama,Monumento de la ciudad de Madrid,C Barceló ,54 - Barceló,"Calle Barceló nº 7,",1,56,0
514,Familia,Monumento de la ciudad de Madrid, ,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,80,1
515,Familia,Monumento de la ciudad de Madrid,Trav Felipe de Diego ,"417 - Calle de Romeo y Julieta, 12","Calle de Romeo y Julieta, 12,",17,211,2
516,Farolero madrileño,Monumento de la ciudad de Madrid,C Concepción Jerónima 15,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9,1,78,0
517,Fauna Mayor Ibérica I,Monumento de la ciudad de Madrid,C Arturo Soria ,"478 - Jose del Hierro , 69","Jose del Hierro , 69,",14,36,0
518,Fauna Mayor Ibérica II,Monumento de la ciudad de Madrid,C Arturo Soria 101,"481 - Diego Ayllon, 2","Diego Ayllon, 2,",11,223,2
519,Fauna Mayor Ibérica III,Monumento de la ciudad de Madrid,C Arturo Soria ,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,49,0
520,Fauno,Monumento de la ciudad de Madrid, ,169 - Pirámides,Calle Toledo nº 181,2,65,0
521,Federico García Lorca,Monumento de la ciudad de Madrid,C Alcalá 96,98 - Plaza de Felipe II,Plaza de Felipe II,1,67,0
522,Federico García Lorca,Monumento de la ciudad de Madrid,Pza Santa Ana ,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,5,51,0
523,Federico García Lorca,Monumento de la ciudad de Madrid,Pº Federico García Lorca ,"437 - C Sierra de Guadalupe, 11","C Sierra de Guadalupe, 11,",8,596,7
524,Federico Romero Sarachaga,Monumento de la ciudad de Madrid,CALLE EL ESPA&amp;Ntilde;OLETO 23,198 - Rubén Darío,Glorieta Rubén Darío 2,1,359,4
525,Federico Rubio,Monumento de la ciudad de Madrid,PARQUE OESTE ,112 - Paseo de Moret,Paseo de Moret nº 11,2,530,6
526,Federico de Madrazo,Monumento de la ciudad de Madrid,C Los Madrazo 24,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,171,2
527,Felipe II,Monumento de la ciudad de Madrid, ,36 - Plaza Ramales,Plaza de Ramales,1,426,5
528,Felipe III,Monumento de la ciudad de Madrid,Pza Mayor ,31 - Calle Mayor,Calle Mayor nº 20,2,120,1
529,Felipe IV,Monumento de la ciudad de Madrid,C Méndez Núñez 1,65 - Antonio Maura,Calle Antonio Maura nº 15,1,135,1
530,Felipe IV,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,174,2
531,Felipe Picatoste Rodríguez,Monumento de la ciudad de Madrid,Pza Cordón 3,35 - Plaza del Cordón,Plaza del Cordón,2,50,0
532,Ferenc Liszt,Monumento de la ciudad de Madrid,PLAZA CORTES 6,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,3,94,1
533,Fernando Fresno,Monumento de la ciudad de Madrid,C Santa Isabel 28,42 - Santa Isabel,"Calle Atocha nº 95,",2,34,0
534,Fernando I,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,235,2
535,Fernando III El Santo,Monumento de la ciudad de Madrid, ,116a - Plaza de España A,Calle Princesa nº 5,3,406,5
536,Fernando III El Santo,Monumento de la ciudad de Madrid,JARDIN PALACIO REAL ,116a - Plaza de España A,Calle Princesa nº 5,3,243,3
