,Place of interest,Type of place,Place address,BiciMAD Station,Station Location,Bikes Available,Distance (m),Walking time (min)
1650,Sagrada Familia,Monumento de la ciudad de Madrid,PLAZA MADRE MOLAS 2,158 - Alberto Alcocer,Avenida de Alberto Alcocer nº 22,1,508,6
1651,Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid, ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,2739,34
1652,Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,CALLE ARTURO SORIA 101,"481 - Diego Ayllon, 2","Diego Ayllon, 2,",11,205,2
1653,Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,CALLE MAGNOLIAS 105,248 - Torre Cepsa,Calle Sinesio Delgado nº 2,2,128,1
1654,Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,GLORIETA EJERCITO 1,"323 - Calle Gallur, 5","Calle Gallur, 5,",7,1577,19
1655,Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,GLORIETA SAN ANTONIO DE LA FLORIDA 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,630,7
1656,Sagrado Corazón de Jesús,Monumento de la ciudad de Madrid,PLAZA MADRE MARIA ANA MOGAS 12,217 - Pedro Rico,Calle Pedro Rico nº 4,2,1481,18
1657,Saineteros madrileños,Monumento de la ciudad de Madrid,CALLE LUCHANA 1,5 - Fuencarral,"Calle Fuencarral nº 108,",4,116,1
1658,San Cristóbal,Monumento de la ciudad de Madrid,URBANIZACION CIUDAD PEGASO ,"555 - Paseo de la Alameda de Osuna, 48","Paseo de la Alameda de Osuna, 48,",1,573,7
1659,San Fernando (Fernando III el Santo),Monumento de la ciudad de Madrid, ,261 - Facultad Derecho,Avenida Complutense nº 23,2,2181,27
1660,San Gerardo,Monumento de la ciudad de Madrid,C Maqueda 45,"324 - Calle de las Higueras, 49","Calle de las Higueras, 49,",13,2471,30
1661,San Isidoro,Monumento de la ciudad de Madrid,PLAZA MARQUES DE COMILLAS 1,256 - Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7,609,7
1662,San Isidoro,Monumento de la ciudad de Madrid,Pº Recoletos 20,94 - Biblioteca Nacional,Paseo de Recoletos nº 20,3,89,1
1665,San Isidro,Monumento de la ciudad de Madrid,PUENTE TOLEDO ,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,5,105,1
1664,San Isidro,Monumento de la ciudad de Madrid,PASEO CASTELLANA 112,136 - Castellana 106,Paseo de la Castellana nº 106,1,158,1
1663,San Isidro,Monumento de la ciudad de Madrid, ,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,3,123,1
1666,San Isidro en la Venta del Batán,Monumento de la ciudad de Madrid,Ctra Batán ,"327 - Calle El Greco, 27","Calle El Greco, 27,",6,859,10
1667,San José,Monumento de la ciudad de Madrid,C Mar Adriático 11,"523 - Calle de la Carretera de Canillas, 40","Calle de la Carretera de Canillas, 40,",14,1568,19
1668,San José,Monumento de la ciudad de Madrid,CALLE ELOY GONZALO 3,200 - Quevedo,Glorieta de Quevedo nº 5,4,148,1
1669,San José,Monumento de la ciudad de Madrid,CALLE GENERAL RICARDOS 179,350 - Calle de Ervigio,"Calle de Ervigio,",17,1204,15
1670,San Juan de Dios,Monumento de la ciudad de Madrid,C López de Hoyos 259,"480 - Vicente Muzas, 12","Vicente Muzas, 12,",5,269,3
1671,San Pol de Mar,Monumento de la ciudad de Madrid,C San Pol de Mar ,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,593,7
1672,Sancha. Reina de León,Monumento de la ciudad de Madrid,Pza Oriente ,24 - Palacio de Oriente,Calle Carlos III nº 1,1,241,3
1673,Sancho IV,Monumento de la ciudad de Madrid,Pº República Argentina ,65 - Antonio Maura,Calle Antonio Maura nº 15,1,194,2
1674,Sancho IV. El Bravo,Monumento de la ciudad de Madrid,PASEO ARGENTINA 2,65 - Antonio Maura,Calle Antonio Maura nº 15,1,146,1
1675,Santa Bárbara,Monumento de la ciudad de Madrid,Pte Puente de San Fernando ,261 - Facultad Derecho,Avenida Complutense nº 23,2,2175,27
1676,Santa María de la Cabeza,Monumento de la ciudad de Madrid,CALLE TOLEDO 1,31 - Calle Mayor,Calle Mayor nº 20,2,174,2
1677,Santa Rosa,Monumento de la ciudad de Madrid,Col Torres Garrido ,350 - Calle de Ervigio,"Calle de Ervigio,",17,2017,25
1678,Santa Rosa de Lima,Monumento de la ciudad de Madrid,C General Ricardos 177,350 - Calle de Ervigio,"Calle de Ervigio,",17,1297,16
1679,Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,C Alfonso XII 64,80a - Atocha A,Paseo de la Infanta Isabel nº 3,3,167,2
1680,Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,C Santa Isabel 51,50 - Museo Reina Sofía,Calle Santa Isabel nº 57,1,246,3
1681,Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,CALLE SAN MODESTO 1,217 - Pedro Rico,Calle Pedro Rico nº 4,2,498,6
1682,Santiago Ramón y Cajal,Monumento de la ciudad de Madrid,Pº Venezuela ,70 - Puerta del Doce de Octubre,"Avenida de Menéndez Pelayo nº 63,",1,350,4
1683,Santo Ángel de la Guarda,Monumento de la ciudad de Madrid,C Tutor 35,117 - Altamirano,Calle Altamirano nº 24,1,346,4
1684,Santísima Virgen,Monumento de la ciudad de Madrid,PASEO CAMOENS Y VALERO ,112 - Paseo de Moret,Paseo de Moret nº 11,2,264,3
1685,Seis columnas jónicas,Monumento de la ciudad de Madrid,C Aniceto Marinas 60,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,669,8
1686,Serafín y Joaquín Álvarez Quintero,Monumento de la ciudad de Madrid,C Velázquez 76,87 - Ayala,Calle Ayala nº 44,8,205,2
1687,Serafín y Joaquín Álvarez Quintero,Monumento de la ciudad de Madrid,PARQUE RETIRO ,97 - Alcalá,Avenida de Menéndez Pelayo nº 3,3,167,2
1688,Serie escultórica en la Universidad de Cantoblanco,Monumento de la ciudad de Madrid, ,"570 - Calle Arzobispo Morcillo, 6","Calle Arzobispo Morcillo, 6,",2,6992,87
1689,Severo Ochoa,Monumento de la ciudad de Madrid,PLAZA RAMON Y CAJAL 3,258 - Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),1,191,2
1690,Si todos los hombres...,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 1,123 - Guzmán el Bueno,"Calle Guzmán el Bueno nº 1,",1,33,0
1691,Simón Bolívar,Monumento de la ciudad de Madrid, ,112 - Paseo de Moret,Paseo de Moret nº 11,2,354,4
1692,Simón Bolívar y María Teresa del Toro,Monumento de la ciudad de Madrid,C Gravina 19,58 - Augusto Figueroa,"Calle Augusto Figueroa nº 33,",5,142,1
1693,Simón de Rojas Clemente,Monumento de la ciudad de Madrid,Pza Murillo 2,68 - Espalter,Calle Espalter nº 1,1,172,2
1694,Sirena Varada 'Lugar de Encuentros III',Monumento de la ciudad de Madrid,Pº Castellana 41,198 - Rubén Darío,Glorieta Rubén Darío 2,1,417,5
1695,Skandia,Monumento de la ciudad de Madrid,CALLE GUZMAN EL BUENO 133,203 - San Francisco de Sales,Calle General Ampudia nº 2,1,242,3
1696,Sor Juana Inés de la Cruz,Monumento de la ciudad de Madrid,C Ferraz ,115 - Ferraz,"Calle Evaristo San Miguel nº 2,",8,273,3
1697,Sor Marcela de San Félix,Monumento de la ciudad de Madrid,C Huertas 47,27 - Huertas,Calle Jesús nº 1,4,202,2
1698,Sor Marta,Monumento de la ciudad de Madrid,C Francisco y Jacinto Alcántara 1,161 - Paseo de la Florida,Paseo de la Florida nº 8,9,586,7
